"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L01C01","L01C01","1","","01","01","4.00",4.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L01C02","L01C02","1","","01","02","40.00",40.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L02C01","L02C01","1","","02","01","1.00",1.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L02C02","L02C02","1","","02","02","10.00",10.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L03C01","L03C01","1","","03","01","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L03C02","L03C02","1","","03","02","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L04C01","L04C01","1","","04","01","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L04C02","L04C02","1","","04","02","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L05C01","L05C01","1","","05","01","2.00",2.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L05C02","L05C02","1","","05","02","16.00",16.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L06C01","L06C01","1","","06","01","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L06C02","L06C02","1","","06","02","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L07C01","L07C01","1","","07","01","115.00",115.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L07C02","L07C02","1","","07","02","212.00",212.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L08C01","L08C01","1","","08","01","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L08C02","L08C02","1","","08","02","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L09C01","L09C01","1","","09","01","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L09C02","L09C02","1","","09","02","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L10C01","L10C01","1","","10","01","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L10C02","L10C02","1","","10","02","0.00",0.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L11C01","L11C01","1","","11","01","36.00",36.00,,
"AS480G",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P01L11C02","L11C02","1","","11","02","47.00",47.00,,
