"Rapport","DateDebutAnneeFinanciere","DateFinAnneeFinanciere","RSS","NoEtablissement","NomEtablissement","PLC","LC","Page","SousPage","Ligne","Colonne","ValeurSaisie","Chiffre","NoInstallation","NomInstallation"
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L01C01","L01C01","2","","01","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L02C01","L02C01","2","","02","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L03C01","L03C01","2","","03","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L04C01","L04C01","2","","04","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L05C01","L05C01","2","","05","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L06C01","L06C01","2","","06","01","3.00",3.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L07C01","L07C01","2","","07","01","3.00",3.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P02L08C01","L08C01","2","","08","01","3.67",3.67,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L01C01","L01C01","3","","01","01","3.00",3.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L02C01","L02C01","3","","02","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L03C01","L03C01","3","","03","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L04C01","L04C01","3","","04","01","1.00",1.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L05C01","L05C01","3","","05","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L06C01","L06C01","3","","06","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L07C01","L07C01","3","","07","01","1.00",1.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L08C01","L08C01","3","","08","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L09C01","L09C01","3","","09","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L10C01","L10C01","3","","10","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L11C01","L11C01","3","","11","01","0.00",0.00,,
"AS480A",2019-04-01,2020-03-31,"01","11045119","CISSS du Bas-Saint-Laurent","P03L12C01","L12C01","3","","12","01","0.00",0.00,,
